,Unnamed: 0,width_δ1,width_δ2,height_δ1,height_δ2,rank_δ1,rank_δ2,nullity_δ1,nullity_δ2
0,0,588,392,196,588,195,391,393,1
1,1,411,274,137,411,136,273,275,1
2,2,540,360,180,540,179,359,361,1
3,3,216,144,72,216,71,143,145,1
4,4,453,302,151,453,150,301,303,1
5,5,294,196,98,294,97,195,197,1
6,6,696,464,232,696,231,463,465,1
7,7,672,448,224,672,223,447,449,1
8,8,849,566,283,849,282,565,567,1
9,9,270,180,90,270,89,179,181,1
10,10,540,360,180,540,179,359,361,1
11,11,255,170,85,255,84,169,171,1
12,12,477,318,159,477,158,317,319,1
13,13,660,440,220,660,219,439,441,1
14,14,585,390,195,585,194,389,391,1
15,15,522,348,174,522,173,347,349,1
16,16,636,424,212,636,211,423,425,1
17,17,567,378,189,567,188,377,379,1
18,18,369,246,123,369,122,245,247,1
19,19,834,556,278,834,277,555,557,1
20,20,561,374,187,561,186,373,375,1
21,21,444,296,148,444,147,295,297,1
22,22,591,394,197,591,196,393,395,1
23,23,375,250,125,375,124,249,251,1
24,24,426,284,142,426,141,283,285,1
25,25,297,198,99,297,98,197,199,1
26,26,585,390,195,585,194,389,391,1
27,27,477,318,159,477,158,317,319,1
28,28,642,428,214,642,213,427,429,1
29,29,699,466,233,699,232,465,467,1
30,30,813,542,271,813,270,541,543,1
31,31,342,228,114,342,113,227,229,1
32,32,453,302,151,453,150,301,303,1
33,33,489,326,163,489,162,325,327,1
34,34,762,508,254,762,253,507,509,1
35,35,609,406,203,609,202,405,407,1
36,36,450,300,150,450,149,299,301,1
37,37,639,426,213,639,212,425,427,1
38,38,555,370,185,555,184,369,371,1
39,39,552,368,184,552,183,367,369,1
40,40,540,360,180,540,179,359,361,1
41,41,615,410,205,615,204,409,411,1
42,42,726,484,242,726,241,483,485,1
43,43,498,332,166,498,165,331,333,1
44,44,723,482,241,723,240,481,483,1
45,45,366,244,122,366,121,243,245,1
46,46,543,362,181,543,180,361,363,1
47,47,708,472,236,708,235,471,473,1
48,48,384,256,128,384,127,255,257,1
49,49,600,400,200,600,199,399,401,1
50,50,648,432,216,648,215,431,433,1
51,51,477,318,159,477,158,317,319,1
52,52,558,372,186,558,185,371,373,1
53,53,543,362,181,543,180,361,363,1
54,54,543,362,181,543,180,361,363,1
55,55,648,432,216,648,215,431,433,1
56,56,810,540,270,810,269,539,541,1
57,57,825,550,275,825,274,549,551,1
58,58,660,440,220,660,219,439,441,1
59,59,618,412,206,618,205,411,413,1
60,60,495,330,165,495,164,329,331,1
61,61,624,416,208,624,207,415,417,1
62,62,441,294,147,441,146,293,295,1
63,63,648,432,216,648,215,431,433,1
64,64,828,552,276,828,275,551,553,1
65,65,315,210,105,315,104,209,211,1
66,66,399,266,133,399,132,265,267,1
67,67,291,194,97,291,96,193,195,1
68,68,390,260,130,390,129,259,261,1
69,69,672,448,224,672,223,447,449,1
70,70,1017,678,339,1017,338,677,679,1
71,71,537,358,179,537,178,357,359,1
72,72,606,404,202,606,201,403,405,1
73,73,732,488,244,732,243,487,489,1
74,74,420,280,140,420,139,279,281,1
75,75,726,484,242,726,241,483,485,1
76,76,546,364,182,546,181,363,365,1
77,77,351,234,117,351,116,233,235,1
78,78,720,480,240,720,239,479,481,1
79,79,669,446,223,669,222,445,447,1
80,80,384,256,128,384,127,255,257,1
81,81,618,412,206,618,205,411,413,1
82,82,312,208,104,312,103,207,209,1
83,83,798,532,266,798,265,531,533,1
84,84,576,384,192,576,191,383,385,1
85,85,492,328,164,492,163,327,329,1
86,86,687,458,229,687,228,457,459,1
87,87,639,426,213,639,212,425,427,1
88,88,495,330,165,495,164,329,331,1
89,89,495,330,165,495,164,329,331,1
90,90,666,444,222,666,221,443,445,1
91,91,741,494,247,741,246,493,495,1
92,92,630,420,210,630,209,419,421,1
93,93,879,586,293,879,292,585,587,1
94,94,546,364,182,546,181,363,365,1
95,95,894,596,298,894,297,595,597,1
96,96,660,440,220,660,219,439,441,1
97,97,528,352,176,528,175,351,353,1
98,98,546,364,182,546,181,363,365,1
99,99,510,340,170,510,169,339,341,1
100,100,744,496,248,744,247,495,497,1
101,101,363,242,121,363,120,241,243,1
102,102,147,98,49,147,48,97,99,1
103,103,924,616,308,924,307,615,617,1
104,104,516,344,172,516,171,343,345,1
105,105,513,342,171,513,170,341,343,1
106,106,660,440,220,660,219,439,441,1
107,107,741,494,247,741,246,493,495,1
108,108,873,582,291,873,290,581,583,1
109,109,408,272,136,408,135,271,273,1
110,110,501,334,167,501,166,333,335,1
111,111,522,348,174,522,173,347,349,1
112,112,444,296,148,444,147,295,297,1
113,113,702,468,234,702,233,467,469,1
114,114,711,474,237,711,236,473,475,1
115,115,600,400,200,600,199,399,401,1
116,116,681,454,227,681,226,453,455,1
117,117,288,192,96,288,95,191,193,1
118,118,636,424,212,636,211,423,425,1
119,119,777,518,259,777,258,517,519,1
120,120,618,412,206,618,205,411,413,1
121,121,540,360,180,540,179,359,361,1
122,122,579,386,193,579,192,385,387,1
123,123,924,616,308,924,307,615,617,1
124,124,894,596,298,894,297,595,597,1
