,width_δ1,width_δ2,height_δ1,height_δ2,rank_δ1,rank_δ2,nullity_δ1,nullity_δ2,H1
0,642,428,214,642,213,427,429,1,2
1,534,356,178,534,177,355,357,1,2
2,324,216,108,324,107,215,217,1,2
3,621,414,207,621,206,413,415,1,2
4,357,238,119,357,118,237,239,1,2
5,519,346,173,519,172,345,347,1,2
6,213,142,71,213,70,141,143,1,2
7,552,368,184,552,183,367,369,1,2
8,609,406,203,609,202,405,407,1,2
9,393,262,131,393,130,261,263,1,2
10,582,388,194,582,193,387,389,1,2
11,420,280,140,420,139,279,281,1,2
12,357,238,119,357,118,237,239,1,2
13,444,296,148,444,147,295,297,1,2
14,555,370,185,555,184,369,371,1,2
15,393,262,131,393,130,261,263,1,2
16,228,152,76,228,75,151,153,1,2
17,312,208,104,312,103,207,209,1,2
18,195,130,65,195,64,129,131,1,2
19,666,444,222,666,221,443,445,1,2
20,801,534,267,801,266,533,535,1,2
21,240,160,80,240,79,159,161,1,2
22,474,316,158,474,157,315,317,1,2
23,465,310,155,465,154,309,311,1,2
24,615,410,205,615,204,409,411,1,2
25,387,258,129,387,128,257,259,1,2
26,357,238,119,357,118,237,239,1,2
27,513,342,171,513,170,341,343,1,2
28,612,408,204,612,203,407,409,1,2
29,417,278,139,417,138,277,279,1,2
30,477,318,159,477,158,317,319,1,2
31,618,412,206,618,205,411,413,1,2
32,456,304,152,456,151,303,305,1,2
33,396,264,132,396,131,263,265,1,2
34,531,354,177,531,176,353,355,1,2
35,693,462,231,693,230,461,463,1,2
36,567,378,189,567,188,377,379,1,2
37,540,360,180,540,179,359,361,1,2
38,582,388,194,582,193,387,389,1,2
39,441,294,147,441,146,293,295,1,2
40,531,354,177,531,176,353,355,1,2
41,609,406,203,609,202,405,407,1,2
42,768,512,256,768,255,511,513,1,2
43,492,328,164,492,163,327,329,1,2
44,444,296,148,444,147,295,297,1,2
45,717,478,239,717,238,477,479,1,2
46,354,236,118,354,117,235,237,1,2
47,360,240,120,360,119,239,241,1,2
48,576,384,192,576,191,383,385,1,2
49,474,316,158,474,157,315,317,1,2
50,816,544,272,816,271,543,545,1,2
51,498,332,166,498,165,331,333,1,2
52,495,330,165,495,164,329,331,1,2
53,501,334,167,501,166,333,335,1,2
54,480,320,160,480,159,319,321,1,2
55,159,106,53,159,52,105,107,1,2
56,348,232,116,348,115,231,233,1,2
57,231,154,77,231,76,153,155,1,2
58,543,362,181,543,180,361,363,1,2
59,546,364,182,546,181,363,365,1,2
60,465,310,155,465,154,309,311,1,2
61,639,426,213,639,212,425,427,1,2
62,399,266,133,399,132,265,267,1,2
63,531,354,177,531,176,353,355,1,2
64,294,196,98,294,97,195,197,1,2
65,588,392,196,588,195,391,393,1,2
66,705,470,235,705,234,469,471,1,2
67,549,366,183,549,182,365,367,1,2
68,144,96,48,144,47,95,97,1,2
69,711,474,237,711,236,473,475,1,2
70,393,262,131,393,130,261,263,1,2
71,363,242,121,363,120,241,243,1,2
72,618,412,206,618,205,411,413,1,2
73,630,420,210,630,209,419,421,1,2
74,444,296,148,444,147,295,297,1,2
75,684,456,228,684,227,455,457,1,2
76,513,342,171,513,170,341,343,1,2
77,498,332,166,498,165,331,333,1,2
78,684,456,228,684,227,455,457,1,2
79,741,494,247,741,246,493,495,1,2
80,492,328,164,492,163,327,329,1,2
81,408,272,136,408,135,271,273,1,2
82,537,358,179,537,178,357,359,1,2
83,594,396,198,594,197,395,397,1,2
84,432,288,144,432,143,287,289,1,2
85,483,322,161,483,160,321,323,1,2
86,372,248,124,372,123,247,249,1,2
87,486,324,162,486,161,323,325,1,2
88,471,314,157,471,156,313,315,1,2
89,429,286,143,429,142,285,287,1,2
90,360,240,120,360,119,239,241,1,2
91,534,356,178,534,177,355,357,1,2
92,324,216,108,324,107,215,217,1,2
93,474,316,158,474,157,315,317,1,2
94,492,328,164,492,163,327,329,1,2
95,330,220,110,330,109,219,221,1,2
96,684,456,228,684,227,455,457,1,2
97,510,340,170,510,169,339,341,1,2
98,699,466,233,699,232,465,467,1,2
99,351,234,117,351,116,233,235,1,2
100,447,298,149,447,148,297,299,1,2
101,348,232,116,348,115,231,233,1,2
102,327,218,109,327,108,217,219,1,2
103,465,310,155,465,154,309,311,1,2
104,633,422,211,633,210,421,423,1,2
105,495,330,165,495,164,329,331,1,2
106,405,270,135,405,134,269,271,1,2
107,477,318,159,477,158,317,319,1,2
108,663,442,221,663,220,441,443,1,2
109,435,290,145,435,144,289,291,1,2
110,423,282,141,423,140,281,283,1,2
111,483,322,161,483,160,321,323,1,2
112,483,322,161,483,160,321,323,1,2
113,486,324,162,486,161,323,325,1,2
114,531,354,177,531,176,353,355,1,2
115,666,444,222,666,221,443,445,1,2
116,369,246,123,369,122,245,247,1,2
117,624,416,208,624,207,415,417,1,2
118,561,374,187,561,186,373,375,1,2
119,531,354,177,531,176,353,355,1,2
120,555,370,185,555,184,369,371,1,2
121,303,202,101,303,100,201,203,1,2
122,654,436,218,654,217,435,437,1,2
123,330,220,110,330,109,219,221,1,2
124,513,342,171,513,170,341,343,1,2
125,477,318,159,477,158,317,319,1,2
126,660,440,220,660,219,439,441,1,2
127,531,354,177,531,176,353,355,1,2
128,525,350,175,525,174,349,351,1,2
129,489,326,163,489,162,325,327,1,2
130,420,280,140,420,139,279,281,1,2
131,333,222,111,333,110,221,223,1,2
132,399,266,133,399,132,265,267,1,2
133,381,254,127,381,126,253,255,1,2
134,702,468,234,702,233,467,469,1,2
135,549,366,183,549,182,365,367,1,2
136,555,370,185,555,184,369,371,1,2
137,639,426,213,639,212,425,427,1,2
138,585,390,195,585,194,389,391,1,2
139,618,412,206,618,205,411,413,1,2
140,666,444,222,666,221,443,445,1,2
141,717,478,239,717,238,477,479,1,2
142,219,146,73,219,72,145,147,1,2
143,564,376,188,564,187,375,377,1,2
144,459,306,153,459,152,305,307,1,2
145,609,406,203,609,202,405,407,1,2
146,462,308,154,462,153,307,309,1,2
147,450,300,150,450,149,299,301,1,2
148,501,334,167,501,166,333,335,1,2
149,153,102,51,153,50,101,103,1,2
150,462,308,154,462,153,307,309,1,2
151,669,446,223,669,222,445,447,1,2
