,width_δ1,width_δ2,height_δ1,height_δ2,rank_δ1,rank_δ2,nullity_δ1,nullity_δ2,b0,b1,b2
0,294,196,98,294,97,196,197,0,1,1,0
1,546,364,182,546,181,364,365,0,1,1,0
2,327,218,109,327,108,218,219,0,1,1,0
3,651,434,217,651,216,434,435,0,1,1,0
4,555,370,185,555,184,370,371,0,1,1,0
5,360,240,120,360,119,240,241,0,1,1,0
6,654,436,218,654,217,436,437,0,1,1,0
7,486,324,162,486,161,324,325,0,1,1,0
8,225,150,75,225,74,150,151,0,1,1,0
9,675,450,225,675,224,450,451,0,1,1,0
10,333,222,111,333,110,222,223,0,1,1,0
11,486,324,162,486,161,324,325,0,1,1,0
12,588,392,196,588,195,392,393,0,1,1,0
13,477,318,159,477,158,318,319,0,1,1,0
14,405,270,135,405,134,270,271,0,1,1,0
15,504,336,168,504,167,336,337,0,1,1,0
16,417,278,139,417,138,278,279,0,1,1,0
17,369,246,123,369,122,246,247,0,1,1,0
18,552,368,184,552,183,368,369,0,1,1,0
19,396,264,132,396,131,264,265,0,1,1,0
20,423,282,141,423,140,282,283,0,1,1,0
21,129,86,43,129,42,86,87,0,1,1,0
22,600,400,200,600,199,400,401,0,1,1,0
23,561,374,187,561,186,374,375,0,1,1,0
24,363,242,121,363,120,242,243,0,1,1,0
25,582,388,194,582,193,388,389,0,1,1,0
26,762,508,254,762,253,508,509,0,1,1,0
27,549,366,183,549,182,366,367,0,1,1,0
28,432,288,144,432,143,288,289,0,1,1,0
29,651,434,217,651,216,434,435,0,1,1,0
30,543,362,181,543,180,362,363,0,1,1,0
31,228,152,76,228,75,152,153,0,1,1,0
32,606,404,202,606,201,404,405,0,1,1,0
33,714,476,238,714,237,476,477,0,1,1,0
34,270,180,90,270,89,180,181,0,1,1,0
35,453,302,151,453,150,302,303,0,1,1,0
36,690,460,230,690,229,460,461,0,1,1,0
37,558,372,186,558,185,372,373,0,1,1,0
38,570,380,190,570,189,380,381,0,1,1,0
39,615,410,205,615,204,410,411,0,1,1,0
40,657,438,219,657,218,438,439,0,1,1,0
41,519,346,173,519,172,346,347,0,1,1,0
42,432,288,144,432,143,288,289,0,1,1,0
43,393,262,131,393,130,262,263,0,1,1,0
44,333,222,111,333,110,222,223,0,1,1,0
45,501,334,167,501,166,334,335,0,1,1,0
46,759,506,253,759,252,506,507,0,1,1,0
47,657,438,219,657,218,438,439,0,1,1,0
48,336,224,112,336,111,224,225,0,1,1,0
49,738,492,246,738,245,492,493,0,1,1,0
50,600,400,200,600,199,400,401,0,1,1,0
