Complexity,Loss,Equation
1,10.0,"1.0"
6,0.016666668,"neg(H1 * (width_D1 + H1))"
7,0.014285714,"nullity_D1 * neg(width_D1 + neg(height_D2))"
8,0.0125,"logical_or(H1, nullity_D1) * neg(width_D1 + H1)"
9,0.011111111,"neg(logical_or(neg(height_D2), nullity_D1) * (width_D1 + H1))"
10,0.01,"neg(neg(neg(neg(neg(H1) * width_D1))) + width_D1)"
11,0.009090909,"neg(neg(neg(logical_or(height_D1, neg(rank_D1 + (height_D1 * width_D1))))))"
12,0.008333334,"neg(neg(neg(neg(neg(H1) * width_D1))) + (width_D1 + height_D2))"
13,0.0076923077,"neg(logical_and(logical_and(rank_D2, rank_D2), rank_D2 * neg(neg(rank_D1)))) + neg(rank_D1)"
14,0.007142857,"neg(neg(neg(neg(neg(H1) * width_D1))) + (width_D1 + height_D2)) + height_D2"
15,0.006666667,"neg((height_D2 + ((width_D1 + height_D2) + neg(neg(H1) * neg(width_D1)))) * width_D2)"
16,0.00625,"(neg(neg(neg(neg(neg(H1) * width_D1))) + (width_D1 + height_D2)) + height_D2) * width_D2"
17,0.005882353,"(neg(neg(neg(logical_and(height_D1, rank_D1 * height_D2))) + neg(neg(height_D2))) + neg(rank_D2)) * H1"
18,0.0055555557,"(neg(height_D2 + ((width_D1 + height_D2) + neg(neg(neg(H1 * neg(width_D1)))))) * width_D2) + width_D1"
19,0.005263158,"neg(height_D1 + neg(logical_or(height_D1, neg(neg(neg(logical_or(height_D1, neg(neg(neg(height_D1) * height_D1)))) * height_D1)))))"
20,0.005,"((neg(height_D2 + ((width_D1 + height_D2) + neg(neg(neg(H1 * neg(width_D1)))))) * width_D2) + width_D1) * width_D2"
21,0.004761905,"neg(height_D1 + neg(logical_or(height_D1, neg(neg(logical_or(height_D1, neg(neg(neg(neg(height_D1 * (H1 + rank_D1)))))) * height_D1)))))"
22,0.0045454544,"logical_and(((neg(height_D2 + (width_D1 + height_D2)) * width_D2) + width_D1) * neg(neg(H1 * (rank_D2 + height_D1))), logical_and(rank_D1, nullity_D1))"
23,0.004347826,"(logical_and((H1 * rank_D2) + height_D1, logical_and(width_D1 * (nullity_D1 * neg(nullity_D1)), logical_and(rank_D1, width_D1))) * neg(height_D2 + width_D1)) * rank_D1"
24,0.004166667,"((neg(height_D2 + ((width_D1 + height_D2) + neg(neg(neg(rank_D1 * neg(width_D1)))))) * width_D2) + width_D1) * neg(H1 * neg(width_D1))"
25,0.004,"neg((((nullity_D1 * rank_D1) * rank_D1) + (nullity_D1 + height_D2)) + logical_and(height_D1, logical_and(neg(logical_and(rank_D1 * (rank_D1 * logical_and(width_D1, width_D1)), width_D1)), rank_D1)))"
26,0.0038461538,"logical_and(((neg(height_D2 + ((width_D1 + height_D2) + neg(neg(neg(rank_D1 * neg(width_D1)))))) * width_D2) + width_D1) * neg(H1 * neg(width_D1)), rank_D1)"
27,0.0037037036,"logical_and((neg((height_D2 + ((width_D1 + height_D2) + neg(neg(neg(rank_D1))))) * width_D2) + width_D1) * neg(H1 * neg(rank_D2 + height_D1)), logical_and(rank_D1, nullity_D1))"
28,0.0035714286,"logical_and(logical_and(((neg(height_D2 + ((width_D1 + height_D2) + neg(neg(neg(rank_D1 * neg(width_D1)))))) * width_D2) + width_D1) * neg(H1 * neg(width_D1)), rank_D1), nullity_D1)"
29,0.0034482758,"logical_and(((nullity_D1 + neg(logical_and(width_D1, height_D2) + neg(rank_D1 * neg(neg(neg(width_D1)))))) * (width_D2 + width_D1)) * (H1 * (height_D1 + neg(height_D1))), logical_and(rank_D1, nullity_D1))"
30,0.0033333334,"((logical_and((nullity_D1 + (neg(width_D1) + (neg(width_D1) * width_D2))) + width_D1, logical_and(logical_and((H1 * height_D1) + neg(height_D1), H1), height_D1 * nullity_D2)) * height_D2) * height_D2) * nullity_D2"
