,Unnamed: 0,width_δ1,width_δ2,height_δ1,height_δ2,rank_δ1,rank_δ2,nullity_δ1,nullity_δ2,b0,b1,b2
0,0,1122,748,374,1122,372,747,750,1,2,3,1
1,1,1032,688,344,1032,342,687,690,1,2,3,1
2,2,1053,702,351,1053,349,701,704,1,2,3,1
3,3,1014,676,338,1014,336,675,678,1,2,3,1
4,4,669,446,223,669,221,445,448,1,2,3,1
5,5,849,566,283,849,281,565,568,1,2,3,1
6,6,1104,736,368,1104,366,735,738,1,2,3,1
7,7,942,628,314,942,312,627,630,1,2,3,1
8,8,876,584,292,876,290,583,586,1,2,3,1
9,9,741,494,247,741,245,493,496,1,2,3,1
10,10,837,558,279,837,277,557,560,1,2,3,1
11,11,924,616,308,924,306,615,618,1,2,3,1
12,12,867,578,289,867,287,577,580,1,2,3,1
13,13,1086,724,362,1086,360,723,726,1,2,3,1
14,14,1119,746,373,1119,371,745,748,1,2,3,1
15,15,723,482,241,723,239,481,484,1,2,3,1
16,16,945,630,315,945,313,629,632,1,2,3,1
17,17,1275,850,425,1275,423,849,852,1,2,3,1
18,18,1035,690,345,1035,343,689,692,1,2,3,1
19,19,1068,712,356,1068,354,711,714,1,2,3,1
20,20,939,626,313,939,311,625,628,1,2,3,1
21,21,873,582,291,873,289,581,584,1,2,3,1
22,22,1140,760,380,1140,378,759,762,1,2,3,1
23,23,1092,728,364,1092,362,727,730,1,2,3,1
24,24,1083,722,361,1083,359,721,724,1,2,3,1
25,25,903,602,301,903,299,601,604,1,2,3,1
26,26,861,574,287,861,285,573,576,1,2,3,1
27,27,993,662,331,993,329,661,664,1,2,3,1
28,28,762,508,254,762,252,507,510,1,2,3,1
29,29,1257,838,419,1257,417,837,840,1,2,3,1
30,30,1032,688,344,1032,342,687,690,1,2,3,1
31,31,1179,786,393,1179,391,785,788,1,2,3,1
32,32,1179,786,393,1179,391,785,788,1,2,3,1
33,33,1026,684,342,1026,340,683,686,1,2,3,1
34,34,948,632,316,948,314,631,634,1,2,3,1
35,35,1323,882,441,1323,439,881,884,1,2,3,1
36,36,762,508,254,762,252,507,510,1,2,3,1
37,37,1356,904,452,1356,450,903,906,1,2,3,1
38,38,1317,878,439,1317,437,877,880,1,2,3,1
39,39,750,500,250,750,248,499,502,1,2,3,1
40,40,756,504,252,756,250,503,506,1,2,3,1
41,41,978,652,326,978,324,651,654,1,2,3,1
42,42,1095,730,365,1095,363,729,732,1,2,3,1
43,43,1197,798,399,1197,397,797,800,1,2,3,1
44,44,1236,824,412,1236,410,823,826,1,2,3,1
