,width_δ1,width_δ2,height_δ1,height_δ2,rank_δ1,rank_δ2,nullity_δ1,nullity_δ2,b0,b1,b2
0,588,392,196,588,195,391,393,1,1,2,1
1,411,274,137,411,136,273,275,1,1,2,1
2,540,360,180,540,179,359,361,1,1,2,1
3,216,144,72,216,71,143,145,1,1,2,1
4,453,302,151,453,150,301,303,1,1,2,1
5,294,196,98,294,97,195,197,1,1,2,1
6,696,464,232,696,231,463,465,1,1,2,1
7,672,448,224,672,223,447,449,1,1,2,1
8,849,566,283,849,282,565,567,1,1,2,1
9,270,180,90,270,89,179,181,1,1,2,1
10,540,360,180,540,179,359,361,1,1,2,1
11,255,170,85,255,84,169,171,1,1,2,1
12,477,318,159,477,158,317,319,1,1,2,1
13,660,440,220,660,219,439,441,1,1,2,1
14,585,390,195,585,194,389,391,1,1,2,1
15,522,348,174,522,173,347,349,1,1,2,1
16,636,424,212,636,211,423,425,1,1,2,1
17,567,378,189,567,188,377,379,1,1,2,1
18,369,246,123,369,122,245,247,1,1,2,1
19,834,556,278,834,277,555,557,1,1,2,1
20,561,374,187,561,186,373,375,1,1,2,1
21,444,296,148,444,147,295,297,1,1,2,1
22,591,394,197,591,196,393,395,1,1,2,1
23,375,250,125,375,124,249,251,1,1,2,1
24,426,284,142,426,141,283,285,1,1,2,1
25,297,198,99,297,98,197,199,1,1,2,1
26,585,390,195,585,194,389,391,1,1,2,1
27,477,318,159,477,158,317,319,1,1,2,1
28,642,428,214,642,213,427,429,1,1,2,1
29,699,466,233,699,232,465,467,1,1,2,1
30,813,542,271,813,270,541,543,1,1,2,1
31,342,228,114,342,113,227,229,1,1,2,1
32,453,302,151,453,150,301,303,1,1,2,1
33,489,326,163,489,162,325,327,1,1,2,1
34,762,508,254,762,253,507,509,1,1,2,1
35,609,406,203,609,202,405,407,1,1,2,1
36,450,300,150,450,149,299,301,1,1,2,1
37,639,426,213,639,212,425,427,1,1,2,1
38,555,370,185,555,184,369,371,1,1,2,1
39,552,368,184,552,183,367,369,1,1,2,1
40,540,360,180,540,179,359,361,1,1,2,1
41,615,410,205,615,204,409,411,1,1,2,1
42,726,484,242,726,241,483,485,1,1,2,1
43,498,332,166,498,165,331,333,1,1,2,1
44,723,482,241,723,240,481,483,1,1,2,1
45,366,244,122,366,121,243,245,1,1,2,1
46,543,362,181,543,180,361,363,1,1,2,1
47,708,472,236,708,235,471,473,1,1,2,1
48,384,256,128,384,127,255,257,1,1,2,1
49,600,400,200,600,199,399,401,1,1,2,1
50,648,432,216,648,215,431,433,1,1,2,1
