Complexity,Loss,Equation
1,Inf,"rank_D1"
3,1.03628846e12,"implies(nullity_D2, nullity_D2)"
5,7.97837e9,"implies(_1, equals(width_D2, _0))"
7,0.0007904903,"implies(equals(_1, nullity_D2), equals(rank_D2, nullity_D1))"
10,5.5595133e-6,"implies(equals(nullity_D2, _1), equals(height_D2, logical_neg(equals(nullity_D1, height_D2))))"
13,3.833421e-8,"implies(equals(logical_neg(equals(rank_D2, _0)), _1), equals(rank_D1, logical_neg(equals(rank_D2, _0))))"
14,3.5148873e-11,"implies(equals(nullity_D2, _1), equals(_0, logical_neg(implies(equals(_1, nullity_D2), equals(nullity_D2, height_D2)))))"
17,2.3983541e-13,"implies(equals(nullity_D2, _1), equals(logical_neg(equals(_0, logical_neg(implies(equals(_1, nullity_D2), equals(_0, _1))))), width_D2))"
20,1.6303201e-15,"implies(equals(nullity_D2, _1), equals(logical_neg(equals(_0, logical_neg(equals(_0, logical_neg(implies(equals(_1, nullity_D2), equals(_0, _1))))))), width_D2))"
21,1.4902034e-18,"implies(equals(nullity_D2, logical_neg(implies(equals(_1, nullity_D2), equals(nullity_D2, height_D2)))), equals(_0, logical_neg(implies(equals(nullity_D2, _1), equals(nullity_D2, height_D2)))))"
24,1.0100857e-20,"implies(equals(nullity_D2, _1), equals(rank_D1, logical_neg(implies(equals(nullity_D2, logical_neg(equals(nullity_D1, logical_neg(implies(equals(nullity_D2, _1), equals(nullity_D1, height_D1)))))), equals(height_D2, nullity_D1)))))"
