Complexity,Loss,Equation
1,Inf,"nullity_D2"
3,5.6579433e13,"implies(_1, _1)"
5,8.7493454e12,"implies(nullity_D2, equals(nullity_D2, rank_D1))"
7,141088.53,"implies(equals(_1, nullity_D2), equals(height_D2, width_D2))"
9,32496.54,"implies(equals(nullity_D2, _1 + _0), equals(_1, rank_D2))"
10,19930.371,"implies(equals(nullity_D2, logical_neg(equals(nullity_D2, rank_D2))), equals(_1, rank_D1))"
11,7398.9316,"implies(equals(width_D2, width_D2 + _0), equals(width_D2 + _0, height_D1))"
12,4521.8057,"implies(equals(width_D2, width_D2 + _0), equals(width_D2, logical_neg(equals(_0, nullity_D2))))"
13,1674.1769,"implies(equals(height_D1 + _0, height_D1), equals(rank_D2, width_D2 + (_1 + height_D1)))"
14,375.61752,"implies(equals(width_D1, height_D2), equals(logical_neg(implies(equals(width_D1, height_D2), equals(rank_D1, height_D2))), height_D2))"
16,84.56327,"implies(equals(width_D1, height_D2), equals(width_D1, rank_D1 + logical_neg(implies(equals(width_D1, height_D2), equals(width_D1, rank_D1)))))"
17,51.47913,"implies(equals(height_D2, width_D1), equals(logical_neg(equals(logical_neg(implies(equals(width_D1, height_D2), equals(rank_D1, height_D2))), width_D2)), width_D2))"
18,19.000103,"implies(equals(width_D1, height_D2), equals(height_D2, (nullity_D2 + logical_neg(implies(equals(height_D2, width_D1), equals(height_D2, width_D1)))) + height_D2))"
19,11.557891,"implies(equals(height_D2, width_D1), equals(logical_neg(equals(logical_neg(implies(equals(width_D1, height_D2), equals(rank_D1, height_D2))), _1 + nullity_D2)), width_D2))"
20,4.2631145,"implies(equals(height_D2, width_D1), equals(_1, height_D2 + logical_neg(implies(equals(width_D1, height_D2), equals(height_D2 + (nullity_D1 + height_D2), _1)))))"
21,0.95349693,"implies(equals(height_D2, width_D1), equals(rank_D1, logical_neg(implies(equals(height_D2, width_D1), equals(rank_D1, logical_neg(implies(equals(height_D2, width_D1), equals(rank_D1, width_D1))))))))"
23,0.21363673,"implies(equals(width_D1, height_D2), equals(_0, logical_neg(implies(equals(height_D2, width_D1), equals(rank_D1, width_D2))) + logical_neg(implies(equals(height_D2, width_D1), equals(rank_D1, width_D2)))))"
