Complexity,Loss,Equation
1,10.0,"0.0"
6,0.016666668,"neg(width_D1 + rank_D2) * nullity_D2"
7,0.014285714,"neg(width_D1) + neg(rank_D1 * nullity_D1)"
8,0.0125,"logical_and((nullity_D1 + rank_D2) * rank_D2, neg(rank_D1))"
9,0.011111111,"neg(width_D1) + (rank_D1 + neg(rank_D1 * nullity_D1))"
10,0.01,"logical_and((nullity_D1 + logical_and(width_D2, width_D1)) * rank_D2, neg(rank_D1))"
11,0.009090909,"neg((rank_D2 + neg(rank_D1)) * logical_and(rank_D2, rank_D1)) * nullity_D2"
12,0.008333334,"neg((logical_and(height_D1, logical_or(width_D2, nullity_D1)) * rank_D1) + logical_or(height_D2, nullity_D1))"
13,0.0076923077,"neg((nullity_D1 * (rank_D2 * (rank_D2 + height_D1))) * logical_and(rank_D2, neg(rank_D1)))"
14,0.007142857,"logical_and(neg(logical_and(height_D1, logical_or(width_D2, nullity_D1) * rank_D1) + logical_or(height_D2, nullity_D1)), height_D2)"
15,0.006666667,"neg(logical_and(neg(logical_and(height_D1, logical_or(width_D2, nullity_D1) * rank_D1) + logical_or(height_D2, nullity_D1)), height_D2))"
16,0.00625,"logical_and(logical_and(neg(logical_and(height_D1, logical_or(width_D2, nullity_D1 * rank_D1)) + logical_or(height_D2, nullity_D1)), height_D2), H1)"
17,0.005882353,"neg(logical_and(neg(logical_and(height_D1, logical_or(width_D2, nullity_D1 * rank_D1)) + logical_or(height_D2, nullity_D1)), logical_or(height_D2, width_D1)))"
18,0.0055555557,"logical_and(logical_and(neg(logical_and(height_D1, logical_or(width_D2, nullity_D1 * rank_D1)) + logical_or(height_D2, nullity_D1)), height_D2), H1) * H1"
19,0.005263158,"neg(logical_and(logical_and(height_D2, logical_and(height_D1, height_D2)) + logical_and(logical_and(nullity_D2, logical_or(H1, H1)), H1), neg(height_D2)) * height_D1)"
20,0.005,"logical_and(logical_and(logical_and(neg(logical_and(height_D1, logical_or(width_D2, nullity_D1 * rank_D1)) + logical_or(logical_and(nullity_D2, H1), H1)), height_D2), H1), height_D2)"
21,0.004761905,"logical_or(logical_and(logical_or(nullity_D1, neg(rank_D1 * (nullity_D2 * nullity_D2)) * nullity_D2), H1), nullity_D2) + neg(rank_D1 * (nullity_D2 * nullity_D2))"
22,0.0045454544,"logical_and(logical_and(logical_and(neg(logical_and(height_D1, logical_or(width_D2, nullity_D1 * rank_D1)) + logical_or(logical_and(nullity_D2, H1), H1)), height_D2), H1), height_D2) * height_D1"
23,0.004347826,"neg(logical_and(logical_and(neg(logical_and(logical_and(height_D1, logical_or(width_D2, nullity_D1) * rank_D1) + logical_or(logical_and(nullity_D2, H1), H1), height_D2)), H1), height_D2 * height_D1))"
24,0.004166667,"logical_and(logical_and(logical_and(neg(logical_and(height_D1, logical_or(width_D2, nullity_D1) * rank_D1) + logical_or(logical_and(nullity_D2, H1), H1)), logical_and(height_D2, H1)), height_D2) * height_D1, H1)"
25,0.004,"logical_and(neg(logical_or(nullity_D1, logical_and(logical_or(nullity_D2, neg(rank_D1)), nullity_D2 * rank_D1)) * nullity_D2), neg(logical_or(H1, nullity_D2 + (nullity_D1 * logical_or(nullity_D2, neg(rank_D1))))))"
26,0.0038461538,"neg(neg((height_D1 * logical_and(nullity_D1, width_D2)) + neg(height_D1 + neg(neg(height_D2 + ((width_D1 + logical_and(H1, rank_D1 + rank_D1)) * nullity_D1)))))) + H1"
27,0.0037037036,"(logical_or(logical_and(logical_or(nullity_D1, nullity_D2 * (nullity_D2 * logical_or(nullity_D1, nullity_D2 * (nullity_D2 * rank_D1)))) + neg(nullity_D2), H1), nullity_D2) + logical_and(rank_D1, nullity_D2)) * neg(nullity_D2)"
28,0.0035714286,"neg(nullity_D1 + logical_and(logical_or(width_D2, nullity_D1 * logical_and(rank_D2, width_D2)), logical_and(H1, logical_and(logical_or(nullity_D2, logical_or(width_D2, nullity_D1 * logical_and(rank_D2, width_D2))), logical_or(H1, height_D1))) * H1))"
29,0.0034482758,"neg(logical_and(logical_or(logical_and(logical_or(logical_and(logical_and(width_D2, logical_and(nullity_D2 * width_D2, nullity_D1)) + (logical_and(logical_and(width_D2, nullity_D1), width_D2) * (width_D2 + nullity_D1)), nullity_D1), H1), neg(width_D2)), height_D1), rank_D1))"
30,0.0033333334,"neg(logical_and(logical_or(H1, nullity_D2), logical_and(logical_or(nullity_D1, H1), nullity_D2 * (nullity_D2 * neg(nullity_D2))) + logical_or(nullity_D1 * nullity_D2, neg(logical_or(nullity_D1, (logical_and(nullity_D2, nullity_D2) * rank_D1) * nullity_D2)))))"
