Complexity,Loss,Equation
1,10.0,"1.4094864"
6,0.016666668,"height_D2 + neg(width_D2 * nullity_D1)"
7,0.014285714,"(nullity_D2 * neg(height_D1)) + neg(height_D1)"
8,0.0125,"(height_D2 * neg(logical_or(height_D1, height_D1))) + nullity_D2"
9,0.011111111,"neg(logical_or(neg(nullity_D2 * nullity_D1) + nullity_D1, width_D2))"
10,0.01,"logical_and(neg((rank_D2 + (height_D1 * height_D2)) + nullity_D2), width_D2)"
11,0.009090909,"height_D2 + ((nullity_D1 + neg(width_D1)) + neg(width_D2 * nullity_D1))"
12,0.008333334,"(height_D2 + (nullity_D1 + neg(neg(rank_D2)))) + neg(width_D2 * nullity_D1)"
13,0.0076923077,"neg(height_D2 * logical_or(height_D1, rank_D2 + (logical_and(neg(nullity_D2), height_D1) + nullity_D2)))"
14,0.007142857,"neg((height_D2 + ((rank_D2 * nullity_D1) + neg(neg(rank_D2)))) + (width_D2 * height_D1))"
15,0.006666667,"height_D2 * neg(logical_or(height_D1, rank_D2) + (neg(logical_and(neg(nullity_D2), neg(height_D1))) + nullity_D2))"
16,0.00625,"height_D2 * neg(logical_or(height_D1, (rank_D2 + neg(logical_and(neg(nullity_D2), height_D1))) + logical_or(H1, width_D2)))"
17,0.005882353,"logical_and(nullity_D2 * neg(rank_D1), neg(neg(nullity_D1 + neg((nullity_D1 * nullity_D2) + width_D2)) * nullity_D1))"
18,0.0055555557,"logical_and(nullity_D2 * neg(rank_D1), neg(neg(neg(nullity_D1 + ((nullity_D1 * width_D1) + neg(width_D2))) * nullity_D1)))"
19,0.005263158,"nullity_D2 * neg(neg(neg(logical_and(rank_D1, neg(((width_D1 + neg(neg(width_D2))) * (nullity_D1 + nullity_D1)) * nullity_D1)))))"
20,0.005,"(((nullity_D2 * nullity_D1) * (neg(width_D1) + nullity_D1)) + nullity_D1) * neg(neg(logical_or(height_D1, neg(neg(width_D1) + nullity_D1))))"
21,0.004761905,"neg(logical_or(neg(logical_and(logical_and(rank_D1, height_D1 + logical_and(rank_D1, rank_D1)) * rank_D1, rank_D1) * neg(nullity_D1 + rank_D1)), neg(nullity_D2)))"
22,0.0045454544,"height_D2 * neg(logical_or(rank_D2 + (height_D1 + (logical_and(nullity_D2, height_D1) * ((height_D1 + logical_and(nullity_D2, height_D1)) * neg(width_D1)))), neg(width_D1)))"
23,0.004347826,"logical_and(nullity_D2 * neg(rank_D1), neg((nullity_D1 + neg(neg((nullity_D1 * width_D1) + width_D2))) * (nullity_D1 + neg(neg(neg(neg(nullity_D1)))))))"
24,0.004166667,"nullity_D2 * neg(neg(logical_and(rank_D1, neg(neg(neg(((nullity_D1 + nullity_D1) * nullity_D1) + ((nullity_D1 + nullity_D1) + neg(nullity_D1 + neg(width_D2)))))))))"
25,0.004,"neg(neg(logical_and(nullity_D2 * rank_D1, neg(((width_D1 + nullity_D1) * nullity_D1) + neg(((nullity_D1 + nullity_D1) + neg(width_D2)) + neg(neg(neg(nullity_D1))))))))"
26,0.0038461538,"(nullity_D2 * neg(rank_D1)) + neg(((nullity_D1 + neg(neg((nullity_D1 * width_D1) + width_D2))) * nullity_D1) + neg(neg(neg(nullity_D1 + neg(neg(width_D2))))))"
27,0.0037037036,"logical_and(neg(neg(logical_or(height_D1, logical_and(nullity_D2, neg(width_D1 + logical_and(nullity_D2, neg(neg(rank_D1))))) + H1)) + (logical_or(rank_D2, neg(H1 * height_D2)) + nullity_D2)), width_D2)"
28,0.0035714286,"nullity_D2 * neg(neg(neg(logical_and(rank_D1, neg(neg(((width_D1 + neg(neg(width_D2))) * ((nullity_D1 + nullity_D1) * nullity_D1)) + (nullity_D1 + (nullity_D1 + neg(neg(width_D2))))))))))"
29,0.0034482758,"neg(width_D2 * (height_D1 + ((height_D2 + ((neg(neg((height_D2 + nullity_D1) + rank_D2)) + nullity_D1) * nullity_D1)) + neg(neg(nullity_D1 + neg(nullity_D1 + rank_D2)) + width_D2))))"
30,0.0033333334,"nullity_D2 * neg(neg(neg(logical_and(rank_D1, neg(neg(((width_D1 + neg(neg(width_D2))) * ((nullity_D1 + nullity_D1) * nullity_D1)) + ((nullity_D1 * nullity_D1) + (nullity_D1 + neg(neg(width_D2))))))))))"
