,width_δ1,width_δ2,height_δ1,height_δ2,rank_δ1,rank_δ2,nullity_δ1,nullity_δ2,H1
0,1323,882,443,1323,442,881,881,1,0
1,1683,1122,563,1683,562,1121,1121,1,0
2,1266,844,424,1266,423,843,843,1,0
3,1665,1110,557,1665,556,1109,1109,1,0
4,1194,796,400,1194,399,795,795,1,0
5,1377,918,461,1377,460,917,917,1,0
6,1662,1108,556,1662,555,1107,1107,1,0
7,1173,782,393,1173,392,781,781,1,0
8,1755,1170,587,1755,586,1169,1169,1,0
9,1371,914,459,1371,458,913,913,1,0
10,1269,846,425,1269,424,845,845,1,0
11,897,598,301,897,300,597,597,1,0
12,1878,1252,628,1878,627,1251,1251,1,0
13,1686,1124,564,1686,563,1123,1123,1,0
14,1497,998,501,1497,500,997,997,1,0
15,1704,1136,570,1704,569,1135,1135,1,0
16,1341,894,449,1341,448,893,893,1,0
17,1494,996,500,1494,499,995,995,1,0
18,1671,1114,559,1671,558,1113,1113,1,0
19,1287,858,431,1287,430,857,857,1,0
20,1839,1226,615,1839,614,1225,1225,1,0
21,2070,1380,692,2070,691,1379,1379,1,0
22,1740,1160,582,1740,581,1159,1159,1,0
23,1185,790,397,1185,396,789,789,1,0
24,1707,1138,571,1707,570,1137,1137,1,0
25,1590,1060,532,1590,531,1059,1059,1,0
26,1506,1004,504,1506,503,1003,1003,1,0
27,1404,936,470,1404,469,935,935,1,0
28,939,626,315,939,314,625,625,1,0
29,1830,1220,612,1830,611,1219,1219,1,0
30,1533,1022,513,1533,512,1021,1021,1,0
31,1458,972,488,1458,487,971,971,1,0
32,1569,1046,525,1569,524,1045,1045,1,0
33,1815,1210,607,1815,606,1209,1209,1,0
34,1533,1022,513,1533,512,1021,1021,1,0
35,1569,1046,525,1569,524,1045,1045,1,0
36,1575,1050,527,1575,526,1049,1049,1,0
37,1977,1318,661,1977,660,1317,1317,1,0
38,1557,1038,521,1557,520,1037,1037,1,0
39,1833,1222,613,1833,612,1221,1221,1,0
40,1668,1112,558,1668,557,1111,1111,1,0
41,1392,928,466,1392,465,927,927,1,0
42,1527,1018,511,1527,510,1017,1017,1,0
43,2064,1376,690,2064,689,1375,1375,1,0
44,1536,1024,514,1536,513,1023,1023,1,0
45,1533,1022,513,1533,512,1021,1021,1,0
46,1446,964,484,1446,483,963,963,1,0
47,1317,878,441,1317,440,877,877,1,0
48,2052,1368,686,2052,685,1367,1367,1,0
49,1689,1126,565,1689,564,1125,1125,1,0
50,1782,1188,596,1782,595,1187,1187,1,0
51,1743,1162,583,1743,582,1161,1161,1,0
52,2136,1424,714,2136,713,1423,1423,1,0
53,1878,1252,628,1878,627,1251,1251,1,0
54,1533,1022,513,1533,512,1021,1021,1,0
55,1218,812,408,1218,407,811,811,1,0
56,1101,734,369,1101,368,733,733,1,0
57,1563,1042,523,1563,522,1041,1041,1,0
58,1584,1056,530,1584,529,1055,1055,1,0
59,1716,1144,574,1716,573,1143,1143,1,0
60,1893,1262,633,1893,632,1261,1261,1,0
61,1776,1184,594,1776,593,1183,1183,1,0
62,1662,1108,556,1662,555,1107,1107,1,0
63,1620,1080,542,1620,541,1079,1079,1,0
64,1812,1208,606,1812,605,1207,1207,1,0
65,1653,1102,553,1653,552,1101,1101,1,0
66,1305,870,437,1305,436,869,869,1,0
67,1353,902,453,1353,452,901,901,1,0
68,1626,1084,544,1626,543,1083,1083,1,0
69,1599,1066,535,1599,534,1065,1065,1,0
70,2277,1518,761,2277,760,1517,1517,1,0
71,861,574,289,861,288,573,573,1,0
72,1596,1064,534,1596,533,1063,1063,1,0
73,1689,1126,565,1689,564,1125,1125,1,0
74,1812,1208,606,1812,605,1207,1207,1,0
75,1032,688,346,1032,345,687,687,1,0
76,1143,762,383,1143,382,761,761,1,0
77,1464,976,490,1464,489,975,975,1,0
78,1473,982,493,1473,492,981,981,1,0
79,1650,1100,552,1650,551,1099,1099,1,0
80,1332,888,446,1332,445,887,887,1,0
81,1611,1074,539,1611,538,1073,1073,1,0
82,969,646,325,969,324,645,645,1,0
83,1389,926,465,1389,464,925,925,1,0
84,1197,798,401,1197,400,797,797,1,0
85,1704,1136,570,1704,569,1135,1135,1,0
86,1467,978,491,1467,490,977,977,1,0
87,1587,1058,531,1587,530,1057,1057,1,0
88,1422,948,476,1422,475,947,947,1,0
89,1791,1194,599,1791,598,1193,1193,1,0
90,1695,1130,567,1695,566,1129,1129,1,0
91,1938,1292,648,1938,647,1291,1291,1,0
92,1566,1044,524,1566,523,1043,1043,1,0
93,1542,1028,516,1542,515,1027,1027,1,0
94,1797,1198,601,1797,600,1197,1197,1,0
95,1287,858,431,1287,430,857,857,1,0
96,1668,1112,558,1668,557,1111,1111,1,0
97,1449,966,485,1449,484,965,965,1,0
98,1686,1124,564,1686,563,1123,1123,1,0
99,1494,996,500,1494,499,995,995,1,0
100,1233,822,413,1233,412,821,821,1,0
101,1344,896,450,1344,449,895,895,1,0
102,1836,1224,614,1836,613,1223,1223,1,0
103,1800,1200,602,1800,601,1199,1199,1,0
104,1695,1130,567,1695,566,1129,1129,1,0
105,1932,1288,646,1932,645,1287,1287,1,0
106,1734,1156,580,1734,579,1155,1155,1,0
107,1797,1198,601,1797,600,1197,1197,1,0
108,1242,828,416,1242,415,827,827,1,0
109,1821,1214,609,1821,608,1213,1213,1,0
110,1305,870,437,1305,436,869,869,1,0
111,1668,1112,558,1668,557,1111,1111,1,0
112,1326,884,444,1326,443,883,883,1,0
113,1698,1132,568,1698,567,1131,1131,1,0
114,1863,1242,623,1863,622,1241,1241,1,0
115,1863,1242,623,1863,622,1241,1241,1,0
116,1626,1084,544,1626,543,1083,1083,1,0
117,1875,1250,627,1875,626,1249,1249,1,0
118,1587,1058,531,1587,530,1057,1057,1,0
119,1197,798,401,1197,400,797,797,1,0
120,1737,1158,581,1737,580,1157,1157,1,0
121,1758,1172,588,1758,587,1171,1171,1,0
122,1584,1056,530,1584,529,1055,1055,1,0
123,1527,1018,511,1527,510,1017,1017,1,0
124,1458,972,488,1458,487,971,971,1,0
125,1434,956,480,1434,479,955,955,1,0
126,1599,1066,535,1599,534,1065,1065,1,0
127,2130,1420,712,2130,711,1419,1419,1,0
128,1497,998,501,1497,500,997,997,1,0
129,1383,922,463,1383,462,921,921,1,0
130,1572,1048,526,1572,525,1047,1047,1,0
131,1767,1178,591,1767,590,1177,1177,1,0
132,1989,1326,665,1989,664,1325,1325,1,0
133,1557,1038,521,1557,520,1037,1037,1,0
134,1977,1318,661,1977,660,1317,1317,1,0
135,1173,782,393,1173,392,781,781,1,0
136,1923,1282,643,1923,642,1281,1281,1,0
137,1476,984,494,1476,493,983,983,1,0
138,1446,964,484,1446,483,963,963,1,0
139,1398,932,468,1398,467,931,931,1,0
140,1518,1012,508,1518,507,1011,1011,1,0
141,1635,1090,547,1635,546,1089,1089,1,0
142,1302,868,436,1302,435,867,867,1,0
143,1707,1138,571,1707,570,1137,1137,1,0
144,1773,1182,593,1773,592,1181,1181,1,0
145,1293,862,433,1293,432,861,861,1,0
146,1677,1118,561,1677,560,1117,1117,1,0
147,1173,782,393,1173,392,781,781,1,0
148,1833,1222,613,1833,612,1221,1221,1,0
149,1443,962,483,1443,482,961,961,1,0
150,1812,1208,606,1812,605,1207,1207,1,0
151,1122,748,376,1122,375,747,747,1,0
152,1257,838,421,1257,420,837,837,1,0
153,1383,922,463,1383,462,921,921,1,0
154,1815,1210,607,1815,606,1209,1209,1,0
155,1437,958,481,1437,480,957,957,1,0
156,1464,976,490,1464,489,975,975,1,0
157,1974,1316,660,1974,659,1315,1315,1,0
158,1407,938,471,1407,470,937,937,1,0
159,2004,1336,670,2004,669,1335,1335,1,0
160,1623,1082,543,1623,542,1081,1081,1,0
161,1551,1034,519,1551,518,1033,1033,1,0
162,1212,808,406,1212,405,807,807,1,0
163,1521,1014,509,1521,508,1013,1013,1,0
164,2106,1404,704,2106,703,1403,1403,1,0
165,1566,1044,524,1566,523,1043,1043,1,0
166,1728,1152,578,1728,577,1151,1151,1,0
167,1848,1232,618,1848,617,1231,1231,1,0
168,1332,888,446,1332,445,887,887,1,0
169,1383,922,463,1383,462,921,921,1,0
170,1398,932,468,1398,467,931,931,1,0
171,1581,1054,529,1581,528,1053,1053,1,0
172,1524,1016,510,1524,509,1015,1015,1,0
173,1602,1068,536,1602,535,1067,1067,1,0
174,1773,1182,593,1773,592,1181,1181,1,0
175,1848,1232,618,1848,617,1231,1231,1,0
176,1650,1100,552,1650,551,1099,1099,1,0
177,1497,998,501,1497,500,997,997,1,0
178,1815,1210,607,1815,606,1209,1209,1,0
179,1401,934,469,1401,468,933,933,1,0
180,1449,966,485,1449,484,965,965,1,0
181,1497,998,501,1497,500,997,997,1,0
182,1227,818,411,1227,410,817,817,1,0
183,1182,788,396,1182,395,787,787,1,0
184,1770,1180,592,1770,591,1179,1179,1,0
185,1566,1044,524,1566,523,1043,1043,1,0
186,1785,1190,597,1785,596,1189,1189,1,0
187,1665,1110,557,1665,556,1109,1109,1,0
188,1539,1026,515,1539,514,1025,1025,1,0
189,1701,1134,569,1701,568,1133,1133,1,0
190,1737,1158,581,1737,580,1157,1157,1,0
191,1512,1008,506,1512,505,1007,1007,1,0
192,1572,1048,526,1572,525,1047,1047,1,0
193,1497,998,501,1497,500,997,997,1,0
194,1641,1094,549,1641,548,1093,1093,1,0
195,1515,1010,507,1515,506,1009,1009,1,0
196,1890,1260,632,1890,631,1259,1259,1,0
197,1971,1314,659,1971,658,1313,1313,1,0
198,1317,878,441,1317,440,877,877,1,0
199,2166,1444,724,2166,723,1443,1443,1,0
200,1716,1144,574,1716,573,1143,1143,1,0
201,1542,1028,516,1542,515,1027,1027,1,0
202,1800,1200,602,1800,601,1199,1199,1,0
203,1263,842,423,1263,422,841,841,1,0
204,1593,1062,533,1593,532,1061,1061,1,0
205,1716,1144,574,1716,573,1143,1143,1,0
206,1572,1048,526,1572,525,1047,1047,1,0
207,1953,1302,653,1953,652,1301,1301,1,0
208,1686,1124,564,1686,563,1123,1123,1,0
209,1719,1146,575,1719,574,1145,1145,1,0
210,1392,928,466,1392,465,927,927,1,0
211,1614,1076,540,1614,539,1075,1075,1,0
212,1449,966,485,1449,484,965,965,1,0
213,1593,1062,533,1593,532,1061,1061,1,0
214,1539,1026,515,1539,514,1025,1025,1,0
215,1461,974,489,1461,488,973,973,1,0
