,Unnamed: 0,width_δ1,width_δ2,height_δ1,height_δ2,rank_δ1,rank_δ2,nullity_δ1,nullity_δ2
0,0,1638,1092,548,1638,547,1091,1091,1
1,1,1560,1040,522,1560,521,1039,1039,1
2,2,2010,1340,672,2010,671,1339,1339,1
3,3,1386,924,464,1386,463,923,923,1
4,4,2217,1478,741,2217,740,1477,1477,1
5,5,1989,1326,665,1989,664,1325,1325,1
6,6,1986,1324,664,1986,663,1323,1323,1
7,7,1908,1272,638,1908,637,1271,1271,1
8,8,2289,1526,765,2289,764,1525,1525,1
9,9,1950,1300,652,1950,651,1299,1299,1
10,10,1620,1080,542,1620,541,1079,1079,1
11,11,1800,1200,602,1800,601,1199,1199,1
12,12,1746,1164,584,1746,583,1163,1163,1
13,13,2106,1404,704,2106,703,1403,1403,1
14,14,2235,1490,747,2235,746,1489,1489,1
15,15,1779,1186,595,1779,594,1185,1185,1
16,16,2220,1480,742,2220,741,1479,1479,1
17,17,1710,1140,572,1710,571,1139,1139,1
18,18,2094,1396,700,2094,699,1395,1395,1
19,19,1770,1180,592,1770,591,1179,1179,1
20,20,1743,1162,583,1743,582,1161,1161,1
21,21,2082,1388,696,2082,695,1387,1387,1
22,22,1362,908,456,1362,455,907,907,1
23,23,1881,1254,629,1881,628,1253,1253,1
24,24,1749,1166,585,1749,584,1165,1165,1
25,25,2109,1406,705,2109,704,1405,1405,1
26,26,1818,1212,608,1818,607,1211,1211,1
27,27,2184,1456,730,2184,729,1455,1455,1
28,28,1977,1318,661,1977,660,1317,1317,1
29,29,1989,1326,665,1989,664,1325,1325,1
30,30,1452,968,486,1452,485,967,967,1
31,31,2070,1380,692,2070,691,1379,1379,1
32,32,1143,762,383,1143,382,761,761,1
33,33,1746,1164,584,1746,583,1163,1163,1
34,34,1311,874,439,1311,438,873,873,1
35,35,2637,1758,881,2637,880,1757,1757,1
36,36,2610,1740,872,2610,871,1739,1739,1
37,37,1890,1260,632,1890,631,1259,1259,1
38,38,2268,1512,758,2268,757,1511,1511,1
39,39,2049,1366,685,2049,684,1365,1365,1
40,40,2544,1696,850,2544,849,1695,1695,1
41,41,1959,1306,655,1959,654,1305,1305,1
42,42,2097,1398,701,2097,700,1397,1397,1
43,43,2145,1430,717,2145,716,1429,1429,1
44,44,2052,1368,686,2052,685,1367,1367,1
45,45,1986,1324,664,1986,663,1323,1323,1
46,46,1521,1014,509,1521,508,1013,1013,1
47,47,1497,998,501,1497,500,997,997,1
48,48,1782,1188,596,1782,595,1187,1187,1
49,49,1632,1088,546,1632,545,1087,1087,1
50,50,1890,1260,632,1890,631,1259,1259,1
51,51,2175,1450,727,2175,726,1449,1449,1
52,52,1986,1324,664,1986,663,1323,1323,1
53,53,2181,1454,729,2181,728,1453,1453,1
54,54,1830,1220,612,1830,611,1219,1219,1
55,55,1746,1164,584,1746,583,1163,1163,1
56,56,1947,1298,651,1947,650,1297,1297,1
57,57,2505,1670,837,2505,836,1669,1669,1
58,58,1728,1152,578,1728,577,1151,1151,1
59,59,1380,920,462,1380,461,919,919,1
60,60,1977,1318,661,1977,660,1317,1317,1
61,61,1797,1198,601,1797,600,1197,1197,1
62,62,1998,1332,668,1998,667,1331,1331,1
63,63,1569,1046,525,1569,524,1045,1045,1
64,64,1959,1306,655,1959,654,1305,1305,1
65,65,1743,1162,583,1743,582,1161,1161,1
66,66,2337,1558,781,2337,780,1557,1557,1
67,67,2544,1696,850,2544,849,1695,1695,1
68,68,1656,1104,554,1656,553,1103,1103,1
69,69,2472,1648,826,2472,825,1647,1647,1
70,70,1899,1266,635,1899,634,1265,1265,1
71,71,2505,1670,837,2505,836,1669,1669,1
72,72,2076,1384,694,2076,693,1383,1383,1
73,73,1590,1060,532,1590,531,1059,1059,1
74,74,2187,1458,731,2187,730,1457,1457,1
75,75,1539,1026,515,1539,514,1025,1025,1
76,76,1980,1320,662,1980,661,1319,1319,1
77,77,2145,1430,717,2145,716,1429,1429,1
78,78,2187,1458,731,2187,730,1457,1457,1
79,79,1977,1318,661,1977,660,1317,1317,1
80,80,1518,1012,508,1518,507,1011,1011,1
81,81,1809,1206,605,1809,604,1205,1205,1
82,82,1980,1320,662,1980,661,1319,1319,1
83,83,1920,1280,642,1920,641,1279,1279,1
84,84,2076,1384,694,2076,693,1383,1383,1
85,85,2256,1504,754,2256,753,1503,1503,1
86,86,1926,1284,644,1926,643,1283,1283,1
87,87,1479,986,495,1479,494,985,985,1
88,88,1653,1102,553,1653,552,1101,1101,1
89,89,1899,1266,635,1899,634,1265,1265,1
90,90,2484,1656,830,2484,829,1655,1655,1
91,91,1215,810,407,1215,406,809,809,1
92,92,1902,1268,636,1902,635,1267,1267,1
93,93,2514,1676,840,2514,839,1675,1675,1
94,94,1551,1034,519,1551,518,1033,1033,1
95,95,1437,958,481,1437,480,957,957,1
96,96,1488,992,498,1488,497,991,991,1
97,97,1185,790,397,1185,396,789,789,1
98,98,2277,1518,761,2277,760,1517,1517,1
99,99,2142,1428,716,2142,715,1427,1427,1
100,100,1752,1168,586,1752,585,1167,1167,1
101,101,1899,1266,635,1899,634,1265,1265,1
102,102,2082,1388,696,2082,695,1387,1387,1
103,103,2082,1388,696,2082,695,1387,1387,1
104,104,1782,1188,596,1782,595,1187,1187,1
105,105,1200,800,402,1200,401,799,799,1
106,106,1476,984,494,1476,493,983,983,1
107,107,1830,1220,612,1830,611,1219,1219,1
108,108,2109,1406,705,2109,704,1405,1405,1
109,109,2139,1426,715,2139,714,1425,1425,1
110,110,2124,1416,710,2124,709,1415,1415,1
111,111,2223,1482,743,2223,742,1481,1481,1
112,112,2100,1400,702,2100,701,1399,1399,1
113,113,1740,1160,582,1740,581,1159,1159,1
114,114,1887,1258,631,1887,630,1257,1257,1
115,115,2205,1470,737,2205,736,1469,1469,1
116,116,2334,1556,780,2334,779,1555,1555,1
117,117,2346,1564,784,2346,783,1563,1563,1
118,118,2442,1628,816,2442,815,1627,1627,1
119,119,2490,1660,832,2490,831,1659,1659,1
120,120,1434,956,480,1434,479,955,955,1
121,121,1944,1296,650,1944,649,1295,1295,1
122,122,1704,1136,570,1704,569,1135,1135,1
123,123,1617,1078,541,1617,540,1077,1077,1
124,124,2457,1638,821,2457,820,1637,1637,1
125,125,2502,1668,836,2502,835,1667,1667,1
126,126,2139,1426,715,2139,714,1425,1425,1
127,127,2106,1404,704,2106,703,1403,1403,1
128,128,1752,1168,586,1752,585,1167,1167,1
129,129,2031,1354,679,2031,678,1353,1353,1
130,130,2520,1680,842,2520,841,1679,1679,1
131,131,2109,1406,705,2109,704,1405,1405,1
132,132,2130,1420,712,2130,711,1419,1419,1
133,133,1668,1112,558,1668,557,1111,1111,1
134,134,1980,1320,662,1980,661,1319,1319,1
135,135,1449,966,485,1449,484,965,965,1
136,136,2040,1360,682,2040,681,1359,1359,1
137,137,2040,1360,682,2040,681,1359,1359,1
138,138,1734,1156,580,1734,579,1155,1155,1
139,139,2334,1556,780,2334,779,1555,1555,1
140,140,1476,984,494,1476,493,983,983,1
141,141,2100,1400,702,2100,701,1399,1399,1
142,142,1425,950,477,1425,476,949,949,1
143,143,1527,1018,511,1527,510,1017,1017,1
144,144,2394,1596,800,2394,799,1595,1595,1
145,145,2229,1486,745,2229,744,1485,1485,1
146,146,1824,1216,610,1824,609,1215,1215,1
147,147,1179,786,395,1179,394,785,785,1
148,148,2409,1606,805,2409,804,1605,1605,1
